STATISTIC,STATISTIC Label,TLIST(A1),Year,C02068V02499,Type of Feedstuff,UNIT,VALUE
AJA08,Feed Stuff Price,2021,2021,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,325.3918845
AJA08,Feed Stuff Price,2021,2021,18,Dairy meal (16-18% protein),Euro per Tonne,314.0083333
AJA08,Feed Stuff Price,2021,2021,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2021,2021,20,Dairy meal (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2021,2021,21,Chick mash (18-20% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2021,2021,22,Layers' mash (14-16% protein),Euro per Tonne,394.8958333
AJA08,Feed Stuff Price,2021,2021,23,Broiler starter (22-24% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2021,2021,24,Broiler finisher (19-21% protein),Euro per Tonne,415.5
AJA08,Feed Stuff Price,2021,2021,25,Milk replacer,Euro per Tonne,2257
AJA08,Feed Stuff Price,2021,2021,26,Wheat,Euro per Tonne,275.1354167
AJA08,Feed Stuff Price,2021,2021,27,Ewe feed coarse (16-20% protein),Euro per Tonne,320.3755342
AJA08,Feed Stuff Price,2021,2021,28,Ewe pellets/nuts (16-20%),Euro per Tonne,333.6875
AJA08,Feed Stuff Price,2021,2021,29,Lamb feed (16-20% protein),Euro per Tonne,323.5757576
AJA08,Feed Stuff Price,2021,2021,30,Cattle fattening meal (13-15% protein),Euro per Tonne,310.4833333
