Member State,Member State Code,Category,Year,Month,Thousand tonnes
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,February,6.6
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,March,14.77
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,April,20.26
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,May,22.75
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,June,23.15
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,July,22.66
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,August,20.2
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,September,17.23
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,October,15.73
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,November,12.54
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,December,8.09
