STATISTIC,Statistic Label,TLIST(A1),Year,C02064V02491,Product Type,UNIT,VALUE
ABA02C04,Dairy Exports,1997,1997,5,Cream,Tonnes,6
ABA02C04,Dairy Exports,1997,1997,6,Milk Powder,Tonnes,183
ABA02C04,Dairy Exports,1997,1997,11,Drinking Milk & Buttermilk,Tonnes,7
ABA02C04,Dairy Exports,1998,1998,3,Cheese,Tonnes,80
ABA02C04,Dairy Exports,1998,1998,4,Butter,Tonnes,137
ABA02C04,Dairy Exports,1998,1998,5,Cream,Tonnes,3
ABA02C04,Dairy Exports,1998,1998,6,Milk Powder,Tonnes,93
ABA02C04,Dairy Exports,1998,1998,11,Drinking Milk & Buttermilk,Tonnes,6
ABA02C04,Dairy Exports,1999,1999,3,Cheese,Tonnes,77
ABA02C04,Dairy Exports,1999,1999,4,Butter,Tonnes,127
ABA02C04,Dairy Exports,1999,1999,5,Cream,Tonnes,4
ABA02C04,Dairy Exports,1999,1999,6,Milk Powder,Tonnes,129
